Resource Name,Barcode,Location
Bone Human Ground Ts. (Q16) ,5530,R-Q
Ground Bone Tissue (Q17) ,5531,R-Q
Bone Tissue Ground (Q18) ,5532,R-Q
Bone TS Decalcified (Q19) ,5533,R-Q
Bone x.s. (Q20) ,5534,R-Q
"Striated Muscle, Teased (R2) ",5535,R-R
"Striated Muscle, Teased (R3) ",5536,R-R
"Striated Muscle, Teased (R4) ",5537,R-R
"Striated Muscle, Teased (R5) ",5538,R-R
Striated Muscle Section (R7) ,5539,R-R
Muscle Striated Long Sect. (R8) ,5540,R-R
Muscle Striated Long Sect. (R9) ,5541,R-R
Striated Muscle Long Section (R10) ,5542,R-R
"Heart Muscle, Teased (R11)",5543,R-R
"Heart Muscle, Teased (R12)",5544,R-R
"Heart Muscle, Teased (R13)",5545,R-R
"Heart Muscle, Teased (R14)",5546,R-R
"Heart Muscle, Teased (R15) ",5547,R-R
"Human Heart, H+E (R16) ",5548,R-R
Cardiac Muscle Coelestin Blue + Eosin (R17) ,5549,R-R
Cardiac Muscle (R19) ,5601,R-R
Cardiac Muscle c.s. and l.s. (R20) ,5602,R-R
Cardiac Muscle (R21) ,5603,R-R
Smooth Muscle Teased (R22) ,5604,R-R
Smooth Muscle Teased (R23) ,5605,R-R
"Smooth Muscle, Teased (R24)",5606,R-R
Smooth Muscle Teased (R25),5607,R-R
Smooth Muscle Teased (R26),5608,R-R
"Smooth Muscle, Isolated (R27)",5609,R-R
 Abdominal Wall Mammal (R28),5610,R-R
Striated Muscle (R30) ,5611,R-R
Striated Muscle (R31) ,5612,R-R
Striated Muscle(R32) ,5613,R-R
"Striated Muscle, Human (R33) ",5614,R-R
"Striated Muscle, Human (R34)",5615,R-R
"Striated Muscle, Human (R35)",5616,R-R
"Striated Muscle, Human (R36)",5617,R-R
Involuntary Muscle cs and is. (R37) ,5618,R-R
Involuntary Muscle cs and is. (R38),5619,R-R
Involuntary Muscle cs and is. (R39),5620,R-R
Involuntary Muscle cs and is. (R40),5621,R-R
Cerebrum Human Sec. (S1),5622,R-S
Cerebrum Human Sec. (S2) ,5623,R-S
Cerebrum Human Sec. (S3) ,5624,R-S
Cerebrum Human Sec. (S4) ,5625,R-S
Cerebrum Human Sec. (S5) ,5626,R-S
Cerebrum Human Sec. (S6) ,5627,R-S
Cerebrum Human Sec. (S7) ,5628,R-S
Cerebrum Human Sec. (S8) ,5629,R-S
Cerebrum Human Sec. (S9) ,5630,R-S
Cerebrum Human Sec. (S10) ,5631,R-S
Cerebrum Human Sec. (S11) ,5632,R-S
Cerebrum Human Sec. (S12) ,5633,R-S
"Cerebrum, Golgi Stain (S13)",5634,R-S
"Cerebrum, Golgi Stain (S14)",5635,R-S
"Cerebrum , Golgi Sec. (S15)",5636,R-S
Medullated Nerve Human C.S. (S17),5638,R-S
Medullated Nerve Human C.S. (S18),5639,R-S
Medullated Nerve Human C.S. (S19),5640,R-S
Medullated Nerve Human C.S. (S20),5641,R-S
Medullated Nerve Human C.S. (S21),5642,R-S
Medullated Nerve Human C.S. (S22),5643,R-S
Medullated Nerve Human C.S. (S23),5644,R-S
Medullated Nerve Human C.S. (S24),5645,R-S
Meduallated Nerve c.s. & l.s. (S25),5646,R-S
Meduallated Nerve c.s. & l.s. (S26),5647,R-S
Meduallated Nerve c.s. & l.s. (S27),5648,R-S
Medullated Nerve Teased (S29),5649,R-S
Sympathetic Ganglion Human Sec. (S,5650,R-S
Sympathetic Ganglion Human Sec. (S,5651,R-S
Sympathetic Ganglion Human Sec. (S,5652,R-S
Sympathetic Ganglion Human Sec. (S,5653,R-S
Sympathetic Ganglion Human Sec. (S,5654,R-S
Sympathetic Ganglion Human Sec. (S,5655,R-S
Sympathetic Ganglion Human Sec. (S,5656,R-S
Sympathetic Ganglion Human Sec. (S,5657,R-S
Sympathetic Ganglion Human Sec. (S,5658,R-S
Sympathetic Ganglion Human Sec. (S,5659,R-S
Sympathetic Ganglion Human Sec. (S,5660,R-S
Sympathetic Ganglion Human Sec. (S,5661,R-S
Sympathetci Ganglion & Myelinated Nerve (S42),5662,R-S
Sympathetci Ganglion & Myelinated Nerve (S43) ,5665,R-S
Autonomic Nervous System (S44) ,5663,R-S
Cerebellum Golgi Sec. (S45) ,5664,R-S
Spinal Cord c.s. and I.s. (T1) ,5666,R-T
Spinal Cord c.s. and I.s. (T2) ,5667,R-T
Spinal Cord c.s. & l.s. (T3),5668,R-T
Spinal Cord c.s. & l.s. (T4),5669,R-T
Spinal Cord c.s. & l.s. (T5),5670,R-T
Spinal Cord c.s. & l.s. (T6),5671,R-T
Spinal Cord c.s. & l.s. (T7),5672,R-T
Spinal Cord c.s. & l.s. (T8),5673,R-T
Spinal Cord c.s. & l.s. (T9),5674,R-T
Spinal Cord c.s. & l.s. (T10),5675,R-T
Spinal Cord c.s. & l.s. (T11),5676,R-T
Spinal Cord of Cat (T12),5677,R-T
Spinal Cord X-Sect (T13),5678,R-T
Spinal Cord X-Sect Cat (T14),5679,R-T
Nerve Tissue Spinal Cord of Cat (T15),5680,R-T
Spinal Cord X-Sect (T17),5681,R-T
Spinal Cord (T18),5682,R-T
Spinal Nerve Root Human c.s. (T19),5683,R-T
Spinal Nerve Root Human c.s. (T20),5684,R-T
Spinal Nerve Root Human c.s. (T21),5685,R-T
Spinal Nerve Root Human c.s. (T22),5686,R-T
Spinal Nerve Root Human c.s. (T23),5687,R-T
Spinal Nerve Root Human c.s. (T24),5688,R-T
Spinal Nerve Root Human c.s. (T25),5689,R-T
Spinal Nerve Root Human c.s. (T26),5690,R-T
Spinal Nerve Root Human c.s. (T27),5691,R-T
Spinal Nerve Root Human c.s. (T28),5692,R-T
Spinal Nerve Root Human c.s. (T29),5693,R-T
Neuron Smear w.m. (T30),5694,R-T
Neuron Smear w.m. (T31),5695,R-T
Giant Multipolar Neurons Smear (T32),5696,R-T
Giant Multipolar Neurons Smear (T33),5697,R-T
Motor End Organs w.m. (T34),5698,R-T
Motor End Organs w.m. (T35),5699,R-T
"Motor Nerve Endings, Muscle (T36)",5700,R-T
"Motor Nerve Endings, Muscle (T37)",5701,R-T
Pacinian Corpuscle w.m. (T38),5702,R-T
"Pacinian Corpuscle Mesentery, Sec (T39)",5703,R-T
"Pacinian Corpuscle Mesentery, Sec (T40)",5704,R-T
"Pacinian Corpuscle Mesentery, Sec (T41)",5705,R-T
"Pacinian Corpuscle Mesentery, Sec (T42)",5706,R-T
"Pacinian Corpuscle Mesentery, Sec (T43)",5707,R-T
Meissner's Corpuscles Sec. (T44),5708,R-T
Meissner's Corpuscles Sec. (T45),5709,R-T
"Tongue,Rabbit, Taste Buds (U1)",5710,R-U
"Tongue,Rabbit, Taste Buds (U2)",5711,R-U
"Tongue,Rabbit, Taste Buds (U3)",5712,R-U
"Tongue,Rabbit, Taste Buds (U4)",5713,R-U
"Tongue,Rabbit, Taste Buds (U5)",5714,R-U
"Tongue,Rabbit, Taste Buds (U6)",5715,R-U
"Lepus Cuniculus,x.s. Tongue (U7)",5716,R-U
Tongue of Rabbit (U8),5717,R-U
Tongue of Rabbit (U9),5718,R-U
"Tongue,Monkey Taste Buds (U10)",5719,R-U
"Dasypus, sp. Tongue X. Section (U11)",5720,R-U
Tongue (U12),5721,R-U
Tongue (U13),5722,R-U
"Internal Ear, Cochlea (U14)",5723,R-U
"Internal Ear, Cochlea (U15)",5724,R-U
"Internal Ear, Cochlea (U16)",5725,R-U
"Internal Ear, Cochlea (U17)",5726,R-U
"Internal Ear, Cochlea (U18)",5727,R-U
"Internal Ear, Cochlea (U19)",5728,R-U
"Internal Ear, Cochlea (U20)",5729,R-U
"Internal Ear, Cochlea (U21)",5730,R-U
"Internal Ear, Cochlea (U22)",5731,R-U
"Internal Ear, Cochlea (U23)",5732,R-U
"Internal Ear, Cochlea (U24)",5733,R-U
"Internal Ear, Cochlea (U26)",5734,R-U
Internal Ear of Kitten Axial Sect. of Cochlea (U27),5735,R-U
Internal Ear of Kitten Axial Sect. of Cochlea (U28),5736,R-U
Middle Ear Kitten Sag Sec. (U29),5737,R-U
"Monkey Eye, Medium (U30)",5738,R-U
"Monkey Eye, Medium (U31)",5739,R-U
"Monkey Eye, Medium (U32)",5740,R-U
"Monkey Eye, Medium (U33)",5741,R-U
"Monkey Eye, Fovea (U34)",5742,R-U
"Monkey Eye, Fovea (U35)",5743,R-U
"Retina, Monkey (U36)",5744,R-U
"Retina, Monkey (U37)",5745,R-U
"Retina, Monkey (U38)",5746,R-U
"Retina, Monkey (U39)",5747,R-U
"Retina, Monkey (U40)",5748,R-U
Back of Eye Mammal (U41),5749,R-U
"Rana, Blood Smear (Frog) (V1)",5750,R-V
Cow Blood Corpuscles (V2),5751,R-V
Blood Normal (V3),5752,R-V
Blood Normal (V4),5753,R-V
Blood Normal (V5),5754,R-V
Blood Normal (V7),5756,R-V
Human Blood (V8),5755,R-V
Human Blood Smear (V9),5757,R-V
"Blood Smear Human, Wrights (V10)",5758,R-V
White Corpuscles (V11),5759,R-V
White Corpuscles (V12),5760,R-V
Acute Monocytic Leukemia Blood Smear (V13),5761,R-V
Acute Monocytic Leukemia Blood Smear (V14),5762,R-V
Acute Monocytic Leukemia Blood Smear (V15),5763,R-V
Acute Monocytic Leukemia Blood Smear (V16),5764,R-V
Acute Monocytic Leukemia Blood Smear (V17),5765,R-V
Peripheral Blood Smear human (V18),5844,R-V
Peripheral Blood Smear human (V19),5766,R-V
Aorta (V20),5767,R-V
Spleen 17 yrs old boy auto accident (V21),5768,R-V
Spleen (V22),5769,R-V
Frog Heart (V23),5770,R-V
Frog Heart x-sect. (V24),5771,R-V
Spleen Frog (V26),5773,R-V
"Rattus Rattus, Long Sect. Heart (V27)",5774,R-V
Rattus sp. Mesenteric Spread (V28),5775,R-V
Liver (V29),5776,R-V
"Blood Smear, Human (V30)",5842,R-V
Human Blood Smear (V31),1422,R-V
"Tardus, Lung (W1)",5777,R-W
"Rattus, Rattus Norvigieus; L Sect. Lung (W2)",5778,R-W
"Rattus, Rattus Norvigieus; L Sect. Lung (W3)",5779,R-W
"Rattus, Rattus Norvigieus; L Sect. Lung (W4)",5780,R-W
Rat Lung x.s. (W5),5781,R-W
Rat Lung x.s. (W6),5782,R-W
Rat Lung Long Section (W7),5783,R-W
Trachea (W8),5784,R-W
Lung Demonstration Model (W9),5785,R-W
"Tooth Root, x.s. Ground (X1)",5786,R-X
"Tooth Root, x.s. Ground (X2)",5787,R-X
Submaxillary Human (X3),5789,R-X
Esophagus (X4),5788,R-X
Esophagus (X5),5790,R-X
Frog Stomach (X6),5791,R-X
Frog Stomach (X7),5792,R-X
"Stomach Pylone, Section Dog (X8)",5793,R-X
Gall Bladder (X9),5794,R-X
"Dasypus, sp Liver X-Sect. (X10)",5795,R-X
Frog Liver x.s. (X11),5796,R-X
Rat Liver X. Sect. (X12),5797,R-X
Frog Intestine (X14),5799,R-X
"Intestine, Rana sp. (X15)",5800,R-X
"Intestine Rana, sp. (X16)",5801,R-X
"Intestine Rana, sp. (X17)",5802,R-X
Dendroica Intestine c.s. (X18),5803,R-X
"Cat, sm. intestine (X19)",5804,R-X
"Cross Section; Jejunum, Small Intestine (X20)",5805,R-X
Guinea Pig (X21),5806,R-X
Ileum (X22),5807,R-X
Ileum (X23),5835,R-X
Small Bowel (X24),5808,R-X
Colon (X25),5809,R-X
Colon (X26),5810,R-X
"Large Intestine, Cat (X27)",5811,R-X
Cancer of Colon (X28),5812,R-X
Cancer of Colon (X29),5813,R-X
"Amphiuma, Small Intestine Cross Section (X30)",5814,R-X
Thymus (X31),5815,R-X
Thyroid (X32),5816,R-X
Pancreas (X33),5817,R-X
Fish Intestine (X34),5818,R-X
Duodenum (X35),5819,R-X
"Kidney, Rana sp., Transvers Sect. (Y1)",5820,R-Y
"Kidney, Rana sp., Transvers Sect. (Y2)",5821,R-Y
"Kidney, Rana sp., Transvers Sect. (Y3)",5822,R-Y
"Kidney, Rana sp., Transvers Sect. (Y4)",5823,R-Y
Human Kidney (Y5),5824,R-Y
Adrenal Gland Human (Y6),5825,R-Y
ABarr's Bodies in Cheek Cells (Y7),5826,R-Y
Barr's Bodies Spinal Cord Section (Y8),5827,R-Y
Crayfish Ovary c.s.(Y9),5828,R-Y
Ovary of Cat Long Section (Y10),5829,R-Y
Human Ovary (Y11),5830,R-Y
Human Ovary (Y12),5831,R-Y
Uterus and Secretory Endometrium (Y13),5832,R-Y
Frog Testis (Y14),5833,R-Y
Prostate With Very Early Cancer (Y15),5834,R-Y
Gray Fox #2,8148,S-1-1
Dog Flea Larva and Adult ,2179,K-1-1
Life Cycle of a Dragonfly,2259,K-1-2
Dragonfly ,2248,K-1-3
Dragonfly and Cricket,2256,K-1-4
Dragonfly and Grasshopper,2260,K-1-5
Damselfly,2273,K-1-6
Dragonfly Life Cycle,2265,K-1-7
Beneficial Insects,2266,K-1-8
Louse Types,2292,K-1-9
Dragonfly Life Cycle,2264,K-1-10
"Labrum, Mandible (Mouth Parts)",2294,K-1-11
Bristle Tail,2285,K-1-12
Lepisma (Silver Fish),2293,K-1-13
Unknown Insect,2272,K-1-14
Bristletail,2269,K-1-15
Unknown Flying Insect,2270,K-1-16
Dragonfly,2258,K-1-17
Insect Display,3162,K-1-18
Stonefly,2254,K-1-19
Papilio Damnus,2247,K-1-20
Butterfly Life History in Resin,1242,K-1-21
Mud Dauber Nest,1561,K-1-22
Termite Frass ,5279,K-1-23
Dragonfly,2250,K-1-24
Dragonfly,2251,K-1-25
Dragonfly,2252,K-1-26
Dragon Fly,2010,K-1-27
Dragonflies,2249,K-1-28
Dragonfly,2255,K-1-29
Life Cycle of Damselfly,2253,K-1-30
Dragonflies,2245,K-1-31
Damselflies,2246,K-1-32
Dragonflies,2244,K-1-33
Dragonfly Collection,2889,K-1-34
Drone Flies and Drone Fly Larva,2142,K-2-1
Beetle Collage,2854,K-2-2
Catolipsia Argate,2855,K-2-3
Assorted Insect Display,2894,K-2-4
Assorted Insect Display,2895,K-2-5
Assorted Insect Display,2896,K-2-6
House Fly,2144,K-2-7
Malarial Mosquito,2146,K-2-8
Insect Galls on Oak Leaf,2154,K-2-9
Mosquito,2011,K-2-10
Crane Fly,2153,K-2-11
Flower Fly,2152,K-2-12
Moth,2087,K-2-13
Fly Eggs,1706,K-2-14
Sarcohaga Bullata Female Flies Emerging (Small Pads on Feet),2148,K-2-15
Fly Pupae,2149,K-2-16
Sarcohaga Bullata Female Flies Emerging (Small Pads on Feet),2147,K-2-17
Med Fly,2150,K-2-18
Med Fly,2151,K-2-19
Beneficial Insects,2195,K-2-20
Cicada Life Cycle,2116,K-2-21
Termite,2145,K-2-22
Flies,2143,K-2-23
Mosquito,2155,K-2-24
House Fly Life History,2134,K-2-25
May Fly,2267,K-2-26
Honey Bee Life History,2221,K-2-27
House Fly Life History,2135,K-2-28
House Fly Life History,2136,K-2-29
2 Large Flies,2138,K-2-30
2 Large Flies,2140,K-2-31
2 Large Flies,2139,K-2-32
May Fly - Nymph and Adult,2141,K-2-33
May Fly,2271,K-2-34
Shade and Ornamental Plant Pests of North America,2189,K-2-35
Harmful Insects Collection,2190,K-2-36
Moths,1404,K-3-1
Silkworm Life History,2890,K-3-2
Silkworm Life Cycle,2096,K-3-3
Silkworm Moth Bombyx Mori,2107,K-3-4
Silkworm Moth,2112,K-3-5
Silkworm Moth,2113,K-3-6
Silkworm Life Cycle,2108,K-3-7
Silkworm Life Cycle,2109,K-3-8
Silk Cocoons,2102,K-3-9
Silk Cocoons,2103,K-3-10
Silk Cocoons,2099,K-3-11
Cocoon and Silkworm,2089,K-3-12
Silk Moth Life Cycle,2105,K-3-13
Silk Moth Life Cycle,2106,K-3-14
Silk Cocoons,2100,K-3-15
Silk Cocoons,2101,K-3-16
Silk Moth Cocoon,2104,K-3-17
Silkworm Life Cycle,2098,K-3-18
Silkworm Life Cycle,2097,K-3-19
Silkworm Life Cycle,2095,K-3-20
Silkworm Life History,2891,K-3-21
Order Collembola Family Entomobyidae #1,3852,K-4-1
Order Collembola Family Sminthuridae,3254,K-4-1
Insect Specimen,3266,K-4-1
Insect Specimen,3263,K-4-1
Ephemeroptera Family Baetidae,3255,K-4-1
Insect Specimen,3236,K-4-1
Isoptera Family Kalotermitidae,3256,K-4-1
Insect Specimen,3253,K-4-1
Walking Stick,3257,K-4-1
Hemoptera Family Cercopidae,3262,K-4-1
Hemoptera Family Aphididae,3264,K-4-1
Walking Stick,3257,K-4-1
Insect Specimen,3265,K-4-1
Order Coleoptera Family Tenebrionidae,3261,K-4-1
Order Coleoptera Family Tenebrionidae,3258,K-4-1
Insect Specimen,3260,K-4-1
Tomato Sphinx Moth Camouflage,2196,K-4-2
Polyphemus Moth,2077,K-4-3
Tomato Sphinx Moth,2081,K-4-4
Polyphemus Moth,2078,K-4-5
Clothes Moths,2157,K-4-6
Pupa and Chrysalis Riker Mount,1250,K-4-7
Chrysalis,2094,K-4-8
Lepidoptera Pupa,3858,K-4-9
Moth,2092,K-4-10
Bombyx Mori Life History,2114,K-4-11
Lepidoptera Pupa,3857,K-4-12
"Polyphemus Moth (Female, Male and Eggs)",2885,K-4-13
Butterfly Collection,2892,K-4-14
Polyphemus Moth,2076,K-4-15
Cecropia Moth,2893,K-4-16
Polyphemus Moth Life Cycle,2079,K-4-17
Butterfly and Moth Comparison,2083,K-4-18
Male and Female Gypsy Moths,2093,K-4-19
Cocoon ,3935,K-4-20
Meal Worms,3930,K-4-21
Chrysalis,3928,K-4-22
Chrysalis,3927,K-4-23
Caterpillar,3931,K-4-24
Chrysalis,3923,K-4-25
Caterpillar,3932,K-4-26
Chrysalis,3925,K-4-27
Chrysalis,3924,K-4-28
Sphinx Moth and Pupa,8898,K-4-29
Oak Silk Moth Chrysalis,3934,K-4-30
Pupa and Chrysalis,1252,K-4-31
Cocoon,2088,K-4-32
Cocoon ,3929,K-4-33
Chrysalis,3919,K-4-34
Chrysalis,3920,K-4-35
Chrysalis,3921,K-4-36
Chrysalis,3850,K-4-37
Nevada Buck Moth Eggs,8899,K-4-38
Chrysalis,8879,K-4-39
Tomato Sphinx Moth Caterpillar,1253,K-4-40
Chrysalis,3933,K-4-41
Tomato Sphinx Moth Caterpillar,3851,K-4-42
Tomato Sphinx Moth,1256,K-4-43
Butterfly or Moth Eggs,1254,K-4-44
Gall Wasp on Calif. Live Oak,3926,K-4-45
Chrysalis,3922,K-4-46
Chrysalis,8746,K-4-47
Chrysalis,8747,K-4-48
Moth Eggs,1403,K-4-49
Polyphemus Eggs,2090,K-4-50
Polyphemus Eggs,1255,K-4-51
Pupa and Chrysalis Riker Mount,1251,K-4-52
Polyphemus Moth Cocoon,3859,K-4-53
Butterfly Collection,2080,K-4-54
White Lined Sphinx Moth,2085,K-4-55
Underwing Moth,2084,K-4-56
Polyphemus Male and Female Life Cycle,2086,K-4-57
Moth,2087,K-4-58
Fly Life Cycle,2111,K-4-59
DeadLeaf Butterfly,2886,K-4-60
Moth Mount,1201,K-4-61
Lac on Twig,2242,P-17-1
Giant Water Bug,2207,P-17-2
Giant Water Bug,2208,P-17-3
Water Bug,2226,P-17-4
May Fly,2222,P-17-5
Unknown Flying Insect,2227,P-17-6
Giant Water Bug Display,2211,P-17-7
Unknown Giant Flying Insect,2213,P-17-8
Large Winged Insect,2214,P-17-9
Water Bugs with Eggs on Back,2232,P-17-10
Honey Bee Life History,1985,P-17-11
Bee,2180,P-17-12
Bumblebees,2176,P-17-13
Honey  Bee Life History ,2183,P-17-14
Honey Bee,2313,P-17-15
Solitary Wasp Nest,2171,P-17-16
Water Strider,2216,P-17-17
Water Strider,2217,P-17-18
Giant Water Bug,2210,P-17-19
Unknown Water Bug,2225,P-17-20
Cicada Nymph Skin on Mugwort,9169,P-17-21
Cicada,2215,P-17-22
Wasp Nest,2163,P-17-23
Queen Bee Cell,2333,P-17-24
Honey Bee,2309,P-17-25
Honey Bee Life History,2322,P-17-26
Honey Bee,2320,P-17-27
Honey Bee,2318,P-17-28
Honey Bee Life History,2329,P-17-29
Bees,2181,P-17-30
Honey Bee Life History,2324,P-17-31
Queen Bee,7988,P-17-32
Mud Dauber Nest,2158,P-17-33
Bee,2169,P-17-34
Cicada,2223,P-17-35
Cicada,2224,P-17-36
Fleas,2236,P-17-37
Fleas,1989,P-17-38
Lice,2237,P-17-39
Beetle,1988,P-17-40
Beetle,1997,P-17-41
Spotted Milkweed Bugs,2233,P-17-42
Beetles,2941,P-17-43
Carabid Beetle,1967,P-17-44
Foundation Wall for Beehive,2301,P-17-45
Foundation Wall for Beehive,2302,P-17-46
Bee,2182,P-17-47
Carpenter Bee,2170,P-17-48
Scale Insects,2229,P-17-49
Beeswax,9507,P-17-50
Louse Types,2240,P-17-51
Louse Types,2291,P-17-52
Squash Bug Metamorphosis,1984,P-17-53
Bed Bug,2228,P-17-54
Bed Bug Nymphs and Adults,1987,P-17-55
Beetles,1993,P-17-56
Blister Beetle,6149,P-17-57
Water Beetle,1991,P-17-58
Beetle,1957,P-17-59
Worker Comb with Eggs in Each Cell,2331,P-17-60
House Fly Life History,2133,P-17-61
Complete and Incomplete Metamorphosis,1982,P-17-62
Bird Milkweed Beetle,2008,P-17-63
Complete and Incomplete Metamorphosis,1983,P-17-64
Scarabs,2115,P-17-65
Sarab Beetle,1978,P-17-66
Longhorn Wood Boring Beetle,1977,P-17-67
Gall on White Oak,2164,P-17-68
Coast Lined June Beetle,1975,P-17-69
5 Mounted Starfish,2442,P-18-1
Starfish,5050,P-18-2
20 Rayed Sea Star,5051,P-18-3
Feather Boa Seaweed,1005,P-18-4
Coraline Algae (Corallina Gracilis),1002,P-18-5
Red Algae (Endocladia Muricata),1001,P-18-6
Mushroom Coral,3963,P-18-7
Dried Seaweed,7989,P-18-8
Dried Seaweed,7990,P-18-9
Dried Seaweed,7991,P-18-10
Dried Seaweed,7992,P-18-11
Dried Seaweed,7993,P-18-12
Dried Seaweed,7994,P-18-13
Starfish Showing New Arm Growth,2437,P-18-14
Coraline Algae (Corallina Gracilis),1000,P-18-15
Starfish,2436,P-18-16
Coraline Algae (Corallina Gracilis),1003,P-18-17
Small Sea Urchin with Spine,2901,P-18-18
Sea Urchin Spine,3281,P-18-19
Starfish,1585,P-18-20
Sea Urchin Half,3277,P-18-21
Sea Urchin,3280,P-18-22
Sand Dollar ,3283,P-18-23
Brittle Star,2428,P-18-24
Sea Urchin,4659,P-18-25
Sea Urchin,4661,P-18-26
Two Small Sea Urchins,4662,P-18-27
Sea Urchin,3279,P-18-28
Sea Urchin,3276,P-18-29
Mini Sea Urchins,4663,P-18-30
Sea Urchin,3278,P-18-31
Aristotle's Lantern (Sea Urchin Mouthparts),3275,P-18-32
Mounted Sand Dollars,2897,P-18-33
Sand Dollar with Limpet,1424,P-18-34
Sand Dollars (7),1604,P-18-35
Sand Dollar,1483,P-18-36
Cat Skeleton,4665,I-1-2
Brontosaurus Model,4801,I-1-3
Flower Model ,2835,I-1-4
Cat Model,1657,I-1-5
Clam Model,1222,I-1-6
Leaf Cross-Section,8721,I-1-7
Crayfish Model,1225,I-1-8
Flower Model ,3684,I-1-8
Opossum,1267,I-1-9
Oak Tree Guals,8242,H-1-1
Cardoon,2849,H-1-1
California Buck Eye,2985,H-1-1
Kapok,2946,H-1-1
Cotton Balls,2954,H-1-1
Kapok,2984,H-1-1
Cotton Balls,2840,H-1-1
Flingio Sperms,2990,H-1-1
Castor Bean,2949,H-1-1
Kapok Mexico,2683,H-1-1
Radish,1144,H-1-1
Valley Oak Acorns,2371,H-1-1
Unknown Acorns (Possibly Oak),2377,H-1-1
Oak Seeds,2378,H-1-1
Large California Lima Beans,2379,H-1-1
Red Kidney Beans,2415,H-1-1
Oregon Oak,2420,H-1-1
Whole Peas,2424,H-1-1
Garry Oak,2672,H-1-1
Black Oak,2674,H-1-1
Apricot Pits,2675,H-1-1
Raw Coffee Beans,2680,H-1-1
Raw Coffee Beans,2685,H-1-1
Beech,2687,H-1-1
Pine Nuts,2692,H-1-1
Raw Rubber from a Rubber Tree,2693,H-1-1
Interior Live Oak Acorns,2695,H-1-1
White Dutch Clover,2691,H-1-1
Sunflower Seeds,2694,H-1-1
Beetch,2700,H-1-1
Tanbark Oak,2702,H-1-1
Real Top Seed,3948,H-1-1
Beans,3952,H-1-1
Grass Seed ,3954,H-1-1
Almond Nuts,3955,H-1-1
Acorn Nuts,4541,H-1-1
Wheat Seeds,7785,H-1-1
Striped Skunk,1269,B-1-1
Spotted Skunk,1227,B-2-2 
Denali National Park,9575,T-1-1
Marine Fishes of the California Current and Adjacent Waters,9428,T-1-1
Map of the world,9468,T-1-2
How a Topographic is Made,5219,T-1-2
San Fransisco Bay Area - Infared Map,5229,T-1-2
"Santa Teresa Hills, California",9487,T-1-3
"Santa Cruz, California",9481,T-1-3
"Monterey, California",9467,T-1-3
"San Jose West, California",9488,T-1-3
Waterfowl,6810,T-1-4
Winter Birds,1724,T-1-4
Mammals of the Mountain,6824,T-1-4
Marsh and Water Birds,6822,T-1-4
Natural Hazards Potential Map of the Circum,9585,T-2-1
Energy-Resource Map of the Circum,9587,T-2-1
Map of the State of California-Antique Style,9474,T-2-2
